Window 74:  RMSE=1.4866  MAE=0.9598
Window 75:  RMSE=1.2469  MAE=0.6269
Window 76:  RMSE=1.3117  MAE=1.0841
Window 77:  RMSE=1.1414  MAE=0.7647
Window 78:  RMSE=1.1701  MAE=0.7723
Window 79:  RMSE=1.4658  MAE=0.8641
Window 80:  RMSE=1.1788  MAE=0.8345
Window 81:  RMSE=0.6123  MAE=0.3229
Window 82:  RMSE=1.3392  MAE=1.0437
Window 83:  RMSE=0.8161  MAE=0.5436
Window 84:  RMSE=0.4322  MAE=0.2955
Window 85:  RMSE=0.7642  MAE=0.5595
Window 86:  RMSE=1.5493  MAE=0.9627
Window 87:  RMSE=1.7862  MAE=1.0285
Window 88:  RMSE=1.2982  MAE=0.6771
Window 89:  RMSE=1.2622  MAE=0.8062
Window 90:  RMSE=1.3496  MAE=1.2199
Window 91:  RMSE=0.7334  MAE=0.6240
Window 92:  RMSE=0.5449  MAE=0.3261
Window 93:  RMSE=0.3597  MAE=0.2328
Window 94:  RMSE=1.0492  MAE=0.7640
Window 95:  RMSE=1.7674  MAE=1.5498
Window 96:  RMSE=1.9979  MAE=1.4068
Window 97:  RMSE=0.8960  MAE=0.5447
Window 98:  RMSE=1.4835  MAE=0.9699
Window 99:  RMSE=0.7032  MAE=0.5090
Window 100:  RMSE=0.7295  MAE=0.5168
Window 101:  RMSE=0.8031  MAE=0.5116
Window 102:  RMSE=1.7058  MAE=1.1372
Window 103:  RMSE=1.1951  MAE=0.7721
Window 104:  RMSE=0.9117  MAE=0.5415
Window 105:  RMSE=0.9084  MAE=0.4844
Window 106:  RMSE=0.9484  MAE=0.5659
Window 107:  RMSE=0.8807  MAE=0.4318
Window 108:  RMSE=0.6809  MAE=0.3640
Window 109:  RMSE=0.3834  MAE=0.2309
Window 110:  RMSE=0.8502  MAE=0.3805
Window 111:  RMSE=1.8781  MAE=1.1341
Window 112:  RMSE=1.4343  MAE=1.1395
Window 113:  RMSE=1.3103  MAE=0.8254
Window 114:  RMSE=1.2062  MAE=0.7427
Window 115:  RMSE=0.7630  MAE=0.6284
Window 116:  RMSE=1.0915  MAE=0.8837
Window 117:  RMSE=0.3790  MAE=0.3211
Window 118:  RMSE=0.5626  MAE=0.5036
Window 119:  RMSE=0.3435  MAE=0.3038
Window 120:  RMSE=0.8935  MAE=0.3621
Window 121:  RMSE=0.6470  MAE=0.3290
Window 122:  RMSE=1.1758  MAE=0.7915
Window 123:  RMSE=0.8541  MAE=0.5081
Window 124:  RMSE=1.1582  MAE=0.8157
Window 125:  RMSE=1.1056  MAE=0.7146
Window 126:  RMSE=1.2487  MAE=0.8260
Window 127:  RMSE=1.1738  MAE=0.6785
Window 128:  RMSE=1.2694  MAE=0.9808
Window 129:  RMSE=0.9089  MAE=0.6189
Window 130:  RMSE=0.6200  MAE=0.5078
Window 131:  RMSE=0.6652  MAE=0.6043
Window 132:  RMSE=0.9813  MAE=0.5428
Window 133:  RMSE=1.8541  MAE=1.3676
Window 134:  RMSE=1.9248  MAE=1.4981
Window 135:  RMSE=0.7612  MAE=0.5567
Window 136:  RMSE=1.1524  MAE=0.7997
Window 137:  RMSE=0.9023  MAE=0.5626
Window 138:  RMSE=0.7214  MAE=0.5679
Window 139:  RMSE=1.0179  MAE=0.6952
Window 140:  RMSE=0.6599  MAE=0.4623
Window 141:  RMSE=1.2263  MAE=0.8181
Window 142:  RMSE=1.3197  MAE=0.8310
Window 143:  RMSE=1.0170  MAE=0.8114
Window 144:  RMSE=1.3054  MAE=0.7981
Window 145:  RMSE=1.2835  MAE=0.8450
Window 146:  RMSE=1.2115  MAE=0.8768
Window 147:  RMSE=0.6464  MAE=0.4383
Window 148:  RMSE=0.7151  MAE=0.5718
Window 149:  RMSE=1.2623  MAE=0.8193
Window 150:  RMSE=1.0240  MAE=0.6249
Window 151:  RMSE=0.8369  MAE=0.5587
Window 152:  RMSE=0.5201  MAE=0.4189
Window 153:  RMSE=1.4077  MAE=0.6437
Window 154:  RMSE=3.1880  MAE=2.2021
Window 155:  RMSE=0.9912  MAE=0.5444
Window 156:  RMSE=0.7731  MAE=0.4712
Window 157:  RMSE=1.2819  MAE=0.7960
Window 158:  RMSE=1.0054  MAE=0.5870
Window 159:  RMSE=2.4439  MAE=1.8464
Window 160:  RMSE=1.1320  MAE=0.7835
Window 161:  RMSE=0.6804  MAE=0.5129
Window 162:  RMSE=1.0822  MAE=0.7289
Window 163:  RMSE=1.4601  MAE=1.0469
Window 164:  RMSE=1.4012  MAE=0.9158
Window 165:  RMSE=1.0724  MAE=0.7454
Window 166:  RMSE=1.0174  MAE=0.5723
Window 167:  RMSE=1.2960  MAE=0.8647
Window 168:  RMSE=1.4040  MAE=0.9834
Window 169:  RMSE=5.7626  MAE=4.1992
Window 170:  RMSE=3.2854  MAE=3.1336
Window 171:  RMSE=0.7956  MAE=0.4163
Window 172:  RMSE=0.2456  MAE=0.1494
Window 173:  RMSE=0.2548  MAE=0.1705
Window 174:  RMSE=0.1546  MAE=0.1088
Window 175:  RMSE=0.4276  MAE=0.2993
Window 176:  RMSE=0.3520  MAE=0.2749
Window 177:  RMSE=0.2433  MAE=0.1663
Window 178:  RMSE=0.3065  MAE=0.2432
Window 179:  RMSE=0.3314  MAE=0.2553
Window 180:  RMSE=0.3035  MAE=0.2438
Window 181:  RMSE=0.5001  MAE=0.3055
Window 182:  RMSE=0.7865  MAE=0.4271
Window 183:  RMSE=0.9193  MAE=0.5448
Window 184:  RMSE=1.1112  MAE=0.9368
Window 185:  RMSE=1.0961  MAE=0.6806
Window 186:  RMSE=2.1530  MAE=1.3447
Window 187:  RMSE=1.6718  MAE=1.1127
Window 188:  RMSE=0.8096  MAE=0.4675
Window 189:  RMSE=0.9495  MAE=0.6022
Window 190:  RMSE=0.7426  MAE=0.5040
Window 191:  RMSE=1.4412  MAE=0.8865
Window 192:  RMSE=0.7839  MAE=0.6378
Window 193:  RMSE=0.6292  MAE=0.3326
Window 194:  RMSE=1.0851  MAE=0.8732
Window 195:  RMSE=0.6699  MAE=0.5201
Window 196:  RMSE=1.7592  MAE=1.3275
Window 197:  RMSE=0.8597  MAE=0.5321
Window 198:  RMSE=2.5657  MAE=1.8441
Window 199:  RMSE=0.3102  MAE=0.2679
Window 200:  RMSE=0.3714  MAE=0.2535
Window 201:  RMSE=0.8284  MAE=0.5711
Window 202:  RMSE=1.3271  MAE=0.9285
Window 203:  RMSE=1.0084  MAE=0.6321
Window 204:  RMSE=0.3735  MAE=0.2846
Window 205:  RMSE=2.0599  MAE=1.4842
Window 206:  RMSE=1.5545  MAE=1.3116
Window 207:  RMSE=1.0838  MAE=0.7085
Window 208:  RMSE=1.7930  MAE=1.4339
Window 209:  RMSE=0.3857  MAE=0.2884
Window 210:  RMSE=0.8564  MAE=0.6950
Window 211:  RMSE=1.4406  MAE=0.9874
Window 212:  RMSE=1.4538  MAE=0.9700
Window 213:  RMSE=0.7477  MAE=0.5471
Window 214:  RMSE=0.9431  MAE=0.7343
Window 215:  RMSE=0.7040  MAE=0.5391
Window 216:  RMSE=1.4692  MAE=1.1431
Window 217:  RMSE=0.5960  MAE=0.3490
Window 218:  RMSE=1.1417  MAE=0.8940
Window 219:  RMSE=1.2143  MAE=0.7304
Window 220:  RMSE=0.7747  MAE=0.5562
Window 221:  RMSE=1.0223  MAE=0.8020
Window 222:  RMSE=0.4554  MAE=0.3083
Window 223:  RMSE=0.5036  MAE=0.3540
Window 224:  RMSE=0.5190  MAE=0.3833
Window 225:  RMSE=0.5049  MAE=0.3225
Window 226:  RMSE=1.3089  MAE=0.8453
Window 227:  RMSE=0.8245  MAE=0.6740
Window 228:  RMSE=1.4783  MAE=1.0430
Window 229:  RMSE=1.1131  MAE=0.7776
Window 230:  RMSE=1.1589  MAE=0.8299
Window 231:  RMSE=0.9227  MAE=0.6136
Window 232:  RMSE=0.7528  MAE=0.4835
Window 233:  RMSE=0.4712  MAE=0.3075
Window 234:  RMSE=0.3918  MAE=0.2427
Window 235:  RMSE=0.9253  MAE=0.6092
Window 236:  RMSE=1.2122  MAE=0.7809
Window 237:  RMSE=0.5050  MAE=0.2518
Window 238:  RMSE=0.5250  MAE=0.3734
Window 239:  RMSE=0.4840  MAE=0.3666
Window 240:  RMSE=1.8266  MAE=1.1683
Window 241:  RMSE=1.7751  MAE=1.3229
Window 242:  RMSE=0.4470  MAE=0.3647
Window 243:  RMSE=0.9901  MAE=0.7895
Window 244:  RMSE=0.7058  MAE=0.5364
Window 245:  RMSE=0.4952  MAE=0.3751
Window 246:  RMSE=0.2628  MAE=0.1585
Window 247:  RMSE=0.2877  MAE=0.1653
Window 248:  RMSE=0.4261  MAE=0.2848
Window 249:  RMSE=0.4988  MAE=0.2914
Window 250:  RMSE=0.4695  MAE=0.2566
Window 251:  RMSE=0.3958  MAE=0.3376
